date,oilprice,msbillions,cpi
2000-01,27.24,4667.6,169.3
2000-02,29.22,4680.9,170
2000-03,30.00,4711.7,171
2000-04,25.78,4767.8,170.9
2000-05,28.64,4755.7,171.2
2000-06,31.67,4773.6,172.2
2000-07,29.96,4791.3,172.7
2000-08,31.02,4819.5,172.7
2000-09,34.00,4855.3,173.6
2000-10,33.03,4871.4,173.9
2000-11,34.37,4882.8,174.2
2000-12,28.78,4927.7,174.6
2001-01,29.50,4978.4,175.6
2001-02,29.68,5017.1,176
2001-03,27.29,5074.9,176.1
2001-04,27.38,5139.2,176.4
2001-05,28.63,5137.3,177.3
2001-06,27.70,5180.3,177.7
2001-07,26.41,5210.2,177.4
2001-08,27.38,5243.9,177.4
2001-09,26.37,5355.3,178.1
2001-10,22.27,5344,177.6
2001-11,19.72,5387.7,177.5
2001-12,19.36,5440.7,177.4
2002-01,19.73,5461.1,177.7
2002-02,20.61,5490.4,178
2002-03,24.40,5502.2,178.5
2002-04,26.12,5502.3,179.3
2002-05,27.13,5528.5,179.5
2002-06,25.45,5553.5,179.6
2002-07,26.96,5596.2,180
2002-08,28.30,5638.4,180.5
2002-09,29.58,5662.5,180.8
2002-10,28.98,5707.2,181.2
2002-11,26.39,5758.2,181.5
2002-12,29.37,5779.5,181.8
2003-01,32.84,5812.3,182.6
2003-02,35.66,5848.4,183.6
2003-03,33.78,5868.6,183.9
2003-04,28.41,5905.7,183.2
2003-05,27.94,5965.5,182.9
2003-06,30.63,6002.4,183.1
2003-07,30.74,6049.4,183.7
2003-08,31.52,6107.3,184.5
2003-09,28.43,6079.9,185.1
2003-10,30.34,6070.2,184.9
2003-11,31.01,6075.7,185
2003-12,32.11,6074,185.5
2004-01,34.28,6082.2,186.3
2004-02,34.53,6121.9,186.7
2004-03,36.76,6158,187.1
2004-04,36.68,6199.1,187.4
2004-05,40.13,6275.9,188.2
2004-06,38.08,6278.1,188.9
2004-07,40.45,6291.3,189.1
2004-08,44.97,6317.9,189.2
2004-09,45.59,6352.3,189.8
2004-10,53.17,6379.9,190.8
2004-11,48.60,6406.5,191.7
2004-12,43.42,6424.7,191.7
2005-01,46.76,6431,191.6
2005-02,47.96,6439.1,192.4
2005-03,54.03,6448.4,193.1
2005-04,53.27,6462,193.7
2005-05,49.70,6479.2,193.6
2005-06,56.15,6511.8,193.7
2005-07,58.79,6543.7,194.9
2005-08,64.64,6576.5,196.1
2005-09,65.70,6610.3,198.8
2005-10,62.57,6644.1,199.1
2005-11,58.45,6660.8,198.1
2005-12,59.23,6688,198.1
2006-01,65.15,6730.3,199.3
2006-02,61.97,6754.9,199.4
2006-03,62.47,6769.5,199.7
2006-04,69.15,6807,200.7
2006-05,70.86,6813.9,201.3
2006-06,70.84,6852.1,201.8
2006-07,74.38,6893.9,202.9
2006-08,73.22,6925.3,203.8
2006-09,64.17,6952.6,202.8
2006-10,59.08,7002,201.9
2006-11,58.87,7037.5,202
2006-12,62.07,7080.4,203.1
2007-01,54.63,7118.5,203.437
2007-02,59.09,7134.6,204.226
2007-03,60.25,7168.5,205.288
2007-04,63.99,7241,205.904
2007-05,63.53,7254.9,206.755
2007-06,67.18,7288.1,207.234
2007-07,73.75,7319,207.603
2007-08,72.54,7395.1,207.667
2007-09,79.51,7413.3,208.547
2007-10,85.25,7428.4,209.19
2007-11,95.04,7453.8,210.834
2007-12,91.32,7484.2,211.445
2008-01,93.17,7517.8,212.174
